architecture,dataset,noise,alpha,run_id,loss,prefix_length,sampling_strategy,train_accuracy,test_accuracy,train_distance,test_distance,train_similarity_scaled,test_similarity_scaled,train_satisfiability,test_satisfiability,nr_epochs,training_time
LSTM,BPIC_2013_closed,10,0.05,4,GLL,2,temperature,0.9528316379,0.9228877425,1.1271186441,0.5789473684,0.8423134071,0.9228955486,0.9542372823,1.0,582,301.0072236508
LSTM,BPIC_2013_closed,10,0.05,4,GLL,2,greedy,0.9528316379,0.9228877425,1.0966101695,0.5789473684,0.8452633667,0.9228955486,0.9542372823,1.0,582,301.0072236508
LSTM,BPIC_2013_closed,10,0.05,4,GLL,3,temperature,0.9528316379,0.9228877425,0.5525423729,0.3684210526,0.9365264822,0.9579832679,0.8711864352,1.0,582,301.0072236508
LSTM,BPIC_2013_closed,10,0.05,4,GLL,3,greedy,0.9528316379,0.9228877425,0.5457627119,0.3684210526,0.937347709,0.9579832679,0.8711864352,1.0,582,301.0072236508
LSTM,BPIC_2013_closed,10,0.05,4,LLL,1,temperature,0.9698979557,0.9752362967,1.806779661,1.3552631579,0.731865893,0.7912214395,0.9762711525,0.9956140518,606,31.7919537229
LSTM,BPIC_2013_closed,10,0.05,4,LLL,1,greedy,0.9698979557,0.9752362967,1.3389830508,0.8026315789,0.7830090386,0.8822164428,0.9779660702,1.0,606,31.7919537229
LSTM,BPIC_2013_closed,10,0.05,4,LLL,2,temperature,0.9698979557,0.9752362967,1.0169491525,0.6228070175,0.8757643981,0.9305344657,0.9542372823,0.9956140518,606,31.7919537229
LSTM,BPIC_2013_closed,10,0.05,4,LLL,2,greedy,0.9698979557,0.9752362967,0.7542372881,0.3771929825,0.8992506755,0.9607517796,0.9542372823,1.0,606,31.7919537229
LSTM,BPIC_2013_closed,10,0.05,4,LLL,3,temperature,0.9698979557,0.9752362967,0.7644067797,0.5833333333,0.9302566097,0.9489695477,0.8661016822,0.9912281036,606,31.7919537229
LSTM,BPIC_2013_closed,10,0.05,4,LLL,3,greedy,0.9698979557,0.9752362967,0.5220338983,0.2675438596,0.9447087674,0.9759100292,0.8711864352,1.0,606,31.7919537229
LSTM,BPIC_2013_closed,10,0.05,5,baseline,1,temperature,0.9749808729,0.9713782817,1.7610169492,1.399122807,0.7378883681,0.7893465203,0.8745762706,0.9078947306,1485,50.2468167348
LSTM,BPIC_2013_closed,10,0.05,5,baseline,1,greedy,0.9749808729,0.9713782817,1.3491525424,0.8464912281,0.7832451161,0.8740461774,0.9559322,1.0,1485,50.2468167348
LSTM,BPIC_2013_closed,10,0.05,5,baseline,2,temperature,0.9749808729,0.9713782817,0.8237288136,0.5394736842,0.8937349332,0.9349061494,0.8627118468,0.9561403394,1485,50.2468167348
LSTM,BPIC_2013_closed,10,0.05,5,baseline,2,greedy,0.9749808729,0.9713782817,0.7033898305,0.4210526316,0.909155841,0.9524353154,0.8898304701,1.0,1485,50.2468167348
LSTM,BPIC_2013_closed,10,0.05,5,baseline,3,temperature,0.9749808729,0.9713782817,0.6254237288,0.451754386,0.9453134185,0.9549364247,0.8084745407,0.9649122953,1485,50.2468167348
LSTM,BPIC_2013_closed,10,0.05,5,baseline,3,greedy,0.9749808729,0.9713782817,0.4440677966,0.298245614,0.9554613904,0.9722550585,0.8338983059,0.9956140518,1485,50.2468167348
LSTM,BPIC_2013_closed,10,0.05,5,GLL,1,temperature,0.9522066355,0.922670722,2.7779661017,2.7368421053,0.5658996325,0.5639861222,0.9779660702,1.0,538,277.4487736081
LSTM,BPIC_2013_closed,10,0.05,5,GLL,1,greedy,0.9522066355,0.922670722,2.813559322,2.7850877193,0.5589215588,0.5559451866,0.9779660702,1.0,538,277.4487736081
LSTM,BPIC_2013_closed,10,0.05,5,GLL,2,temperature,0.9522066355,0.922670722,1.1050847458,0.5833333333,0.8442074076,0.9222689822,0.9542372823,1.0,538,277.4487736081
